originalTitle,rating,startYear,runtimeMinutes,awardWins,numVotes,totalImages,totalVideos,totalCredits,titleType,AwNmExWins,canHaveEpisodes,isAdult,numRegions,countryOfOrigin,genres,ratingMean,ReviewsTotal
Something Worth Fighting For: Part 1,"(7, 8]",2009,45,0.0,5.313205979041787,0.6931471805599453,0.0,123,tvEpisode,0.0,False,False,1,['GB'],"Action,Adventure,Comedy",7.5,0.0
Tang Chao qi li nan,"(5, 6]",1985,102,0.0,2.4849066497880004,0.6931471805599453,0.0,49,movie,1.0986122886681098,False,False,6,['TW'],Romance,5.5,0.0
June Moon,"(6, 7]",1931,79,0.0,3.9512437185814275,2.3978952727983707,0.0,23,movie,0.0,False,False,6,['US'],Comedy,6.5,1.9459101490553132
Miasto prywatne,"(5, 6]",1994,73,0.0,5.572154032177765,0.6931471805599453,0.0,40,movie,0.0,False,False,2,['PL'],"Action,Crime,Drama",5.5,0.6931471805599453
Il bisbetico domato,"(7, 8]",1980,107,0.6931471805599453,9.204422898212146,4.219507705176107,0.0,76,movie,1.0986122886681098,False,False,25,['IT'],"Comedy,Romance",7.5,3.091042453358316
Parbat,"(6, 7]",1952,92,0.0,2.1972245773362196,2.3978952727983707,0.0,16,movie,0.0,False,False,1,['IN'],"Action,Drama",6.5,0.0
Friends and Lovers,"(8, 9]",1989,40,0.0,3.4657359027997265,0.6931471805599453,0.0,31,tvEpisode,0.0,False,False,1,['US'],Comedy,8.5,0.0
Under His Control,"(7, 8]",2010,44,0.0,3.332204510175204,0.6931471805599453,0.0,33,tvEpisode,0.0,False,False,1,['US'],"Crime,Documentary",7.5,0.0
Lonely Laura and Her Sister Niamh,"(3, 4]",2019,15,0.0,3.044522437723423,1.9459101490553132,0.0,26,short,0.0,False,False,1,['GB'],"Comedy,Drama,Horror",3.5,0.6931471805599453
Powa Maka Moana (Pirate),"(7, 8]",2011,43,0.0,6.570882962339584,1.791759469228055,0.0,169,tvEpisode,0.0,False,False,1,['US'],"Action,Crime,Drama",7.5,1.791759469228055
Est & Ouest: Les paradis perdus,"(6, 7]",1993,70,0.0,2.70805020110221,0.6931471805599453,0.0,15,movie,0.0,False,False,1,['FR'],Documentary,6.5,0.0
Agora meyhanesi,"(6, 7]",1968,90,0.0,3.4657359027997265,0.6931471805599453,0.0,8,movie,0.0,False,False,1,['TR'],Drama,6.5,0.0
Watched,"(8, 9]",2012,3,0.0,3.332204510175204,0.0,0.0,5,short,0.0,False,False,1,['US'],"Drama,Short,Thriller",8.5,0.6931471805599453
A Man in Blue,"(7, 8]",2005,40,0.0,4.890349128221754,0.6931471805599453,0.0,134,tvEpisode,0.0,False,False,1,['US'],"Crime,Drama,Mystery",7.5,0.6931471805599453
Eleftheri shesi,"(3, 4]",2018,47,0.0,2.995732273553991,2.0794415416798357,0.0,49,tvSeries,0.0,True,False,1,['GR'],"Comedy,Romance",3.5,0.0
El indio,"(3, 4]",1939,83,0.0,2.8903717578961645,0.6931471805599453,0.0,22,movie,0.0,False,False,1,['MX'],"Adventure,Drama",3.5,0.0
Kynigimeni prosfygopoula,"(4, 5]",1969,92,0.0,2.5649493574615367,4.624972813284271,0.0,18,movie,0.0,False,False,2,['GR'],Drama,4.5,0.0
Pilot,"(7, 8]",1986,40,0.0,3.8918202981106265,2.302585092994046,0.0,70,tvEpisode,0.0,False,False,1,['US'],Comedy,7.5,0.6931471805599453
Clash of the Champions XXX,"(6, 7]",1995,120,0.0,3.4339872044851463,0.6931471805599453,0.0,29,tvSpecial,0.0,False,False,2,['US'],"Action,Sport",6.5,0.0
Mind Over Matter,"(7, 8]",2001,40,0.0,4.77912349311153,0.0,0.0,79,tvEpisode,0.0,False,False,1,['US'],"Comedy,Drama",7.5,0.0
Vlad & Niki,"(2, 3]",2021,53,0.0,3.6635616461296463,0.6931471805599453,0.0,4,tvSeries,0.0,True,False,3,['US'],Comedy,2.5,1.791759469228055
