originalTitle,rating,startYear,runtimeMinutes,numVotes,totalImages,totalVideos,totalCredits,titleType,canHaveEpisodes,isRatable,isAdult,numRegions,ratingCount,countryOfOrigin,genres,ratingMean,ReviewsTotal,nominations
Meirei ihan,"(6, 7]",2021,40,5.480638923341991,13,0,3.295836866004329,tvEpisode,False,True,False,0.6931471805599453,239,['JP'],"Action,Adventure,Animation",6.5,0.0,0.0
Jiaozi,"(9, 10]",2015,9,2.1972245773362196,7,0,3.4965075614664802,short,False,True,False,0.6931471805599453,8,['US'],"Comedy,Drama,Family",9.5,0.0,1.791759469228055
Abandoned,"(8, 9]",1994,47,3.4339872044851463,3,0,4.465908118654584,tvEpisode,False,True,False,0.6931471805599453,30,['AU'],"Action,Crime,Drama",8.5,0.0,0.0
Soldatii. Poveste din Ferentari,"(6, 7]",2017,92,6.7661917146603505,4,0,4.127134385045092,movie,False,True,False,2.3978952727983707,867,"['RO', 'RS', 'BE']",Drama,6.5,3.1780538303479458,2.833213344056216
Reiketsu 20-gô no akugyaku hidô!! Gokû · ikari no chô-henshin,"(7, 8]",1992,24,7.158513997329321,1,0,3.8066624897703196,tvEpisode,False,True,False,0.6931471805599453,1285,['JP'],"Action,Adventure,Animation",7.5,1.3862943611198906,0.0
Ungkarlspappan,"(6, 7]",1935,100,2.6390573296152584,16,0,3.6888794541139363,movie,False,True,False,1.3862943611198906,13,['SE'],Comedy,6.5,0.0,0.0
Baby Love,"(6, 7]",1988,30,4.5217885770490405,0,0,3.4011973816621555,tvEpisode,False,True,False,0.6931471805599453,91,['US'],Comedy,6.5,0.6931471805599453,0.0
A-Camping We Will Go,"(6, 7]",1969,25,5.541263545158426,46,0,3.828641396489095,tvEpisode,False,True,False,0.6931471805599453,254,['US'],"Comedy,Family",6.5,0.6931471805599453,0.0
Chasing the Sun,"(7, 8]",2018,13,1.791759469228055,6,1,2.772588722239781,short,False,True,False,0.6931471805599453,5,['NL'],"Adventure,Drama,Short",7.5,0.0,0.0
Barnyard Egg-citement,"(5, 6]",1939,7,2.995732273553991,0,0,3.1780538303479458,short,False,True,False,0.6931471805599453,19,['US'],"Animation,Short",5.5,1.3862943611198906,0.0
Five Little Sins,"(8, 9]",2023,16,2.1972245773362196,7,0,3.6109179126442243,short,False,True,False,0.6931471805599453,8,['TR'],"Short,Thriller",8.5,0.0,0.0
J'attends La Nuit,"(5, 6]",2018,13,3.4011973816621555,5,0,2.6390573296152584,short,False,True,False,1.6094379124341003,29,['FR'],"Animation,Crime,Drama",5.5,0.6931471805599453,0.0
"Guard Mount, Ft. Myer","(3, 4]",1897,13,3.332204510175204,0,0,1.0986122886681098,short,False,True,False,0.6931471805599453,27,['US'],"Documentary,Short",3.5,0.0,0.0
Gold,"(7, 8]",2002,40,2.302585092994046,0,0,3.367295829986474,tvEpisode,False,True,False,0.6931471805599453,9,['GB'],Drama,7.5,0.0,0.0
Annarakkannanum Thannalayathu,"(3, 4]",2010,123,2.772588722239781,1,0,3.871201010907891,movie,False,True,False,0.6931471805599453,15,['IN'],Drama,3.5,0.0,0.0
Principal Don,"(6, 7]",1997,10,3.044522437723423,1,0,3.258096538021482,short,False,True,False,0.6931471805599453,20,['US'],Short,6.5,0.0,0.0
Die Frau ohne Gesicht,"(7, 8]",1994,40,2.995732273553991,0,0,3.7376696182833684,tvEpisode,False,True,False,0.6931471805599453,19,['DE'],Crime,7.5,0.0,0.0
Slither: Gag Reel,"(3, 4]",2006,8,2.833213344056216,1,0,0.6931471805599453,video,False,True,False,0.6931471805599453,17,['US'],"Comedy,Short",3.5,0.0,0.0
Episode #1.3,"(7, 8]",2011,40,2.302585092994046,25,0,3.5263605246161616,tvEpisode,False,True,False,2.0794415416798357,9,['AR'],"Action,Crime,Drama",7.5,0.0,0.0
Ontore Ontore,"(7, 8]",1994,135,5.209486152841421,4,0,4.23410650459726,movie,False,True,False,0.6931471805599453,182,['BD'],"Family,Romance",7.5,0.6931471805599453,1.0986122886681098
CrazyBus,"(7, 8]",2014,4,5.303304908059076,2,0,1.9459101490553132,tvEpisode,False,True,False,0.6931471805599453,200,['US'],"Action,Comedy,Sci-Fi",7.5,0.0,0.0
Date from Hell,"(4, 5]",2001,4,4.02535169073515,0,0,2.302585092994046,short,False,True,False,0.6931471805599453,55,['US'],"Comedy,Romance,Short",4.5,0.0,0.0
Seattle,"(6, 7]",2018,19,3.4657359027997265,2,0,4.110873864173311,short,False,True,False,0.6931471805599453,31,['ES'],Short,6.5,0.0,2.4849066497880004
Dealer,"(6, 7]",1999,92,5.726847747587197,1,0,3.8066624897703196,movie,False,True,False,1.0986122886681098,307,['DE'],"Crime,Drama",6.5,2.0794415416798357,1.0986122886681098
El faham,"(5, 6]",1973,97,3.1354942159291497,5,0,2.70805020110221,movie,False,True,False,1.3862943611198906,22,['DZ'],Drama,5.5,0.0,1.0986122886681098
Trust,"(7, 8]",2005,24,5.855071922202427,1,0,4.804021044733257,tvEpisode,False,True,False,0.6931471805599453,348,['US'],"Action,Adventure,Animation",7.5,0.6931471805599453,0.0
Wir pfeifen auf den Gurkenkönig,"(6, 7]",1976,90,2.4849066497880004,0,0,3.367295829986474,tvMovie,False,True,False,0.6931471805599453,11,['XWG'],Family,6.5,0.0,0.0
Gyakuryû,"(6, 7]",1924,28,4.499809670330265,1,0,2.70805020110221,short,False,True,False,1.3862943611198906,89,['JP'],Short,6.5,1.3862943611198906,0.0
Underdogs,"(8, 9]",2006,87,3.1780538303479458,2,0,3.828641396489095,movie,False,True,False,1.0986122886681098,23,['US'],Comedy,8.5,1.0986122886681098,0.0
American Standoff,"(3, 4]",1994,13,2.833213344056216,0,0,2.70805020110221,short,False,True,False,0.6931471805599453,16,['US'],"Drama,Short",3.5,0.0,0.0
I Can't Go On,"(5, 6]",2023,13,3.58351893845611,8,0,4.060443010546419,short,False,True,False,0.6931471805599453,35,['CA'],"Drama,Horror,Short",5.5,1.791759469228055,2.772588722239781
L'amour à la chaîne,"(6, 7]",1965,84,4.204692619390966,3,0,3.9512437185814275,movie,False,True,False,2.0794415416798357,66,['FR'],"Comedy,Crime,Drama",6.5,0.6931471805599453,0.0
Caught in His Web,"(5, 6]",2022,84,6.066108090103747,1,0,5.198497031265826,tvMovie,False,True,False,0.6931471805599453,431,['US'],"Drama,Thriller",5.5,2.3978952727983707,0.0
Furikaereba yatsu ga iru,"(7, 8]",1993,129,3.912023005428146,2,0,2.9444389791664403,tvMiniSeries,True,True,False,0.6931471805599453,49,['JP'],Drama,7.5,0.0,0.0
Le vampire de Düsseldorf,"(6, 7]",1965,89,6.327936783729195,78,1,3.970291913552122,movie,False,True,False,2.9444389791664403,559,"['FR', 'IT', 'ES']","Biography,Crime,Thriller",6.5,2.995732273553991,0.0
The 65th Annual Grammy Awards,"(5, 6]",2023,82,5.365976015021851,47,0,6.548219102762372,tvSpecial,False,True,False,2.5649493574615367,213,['US'],Music,5.5,1.6094379124341003,1.791759469228055
Kissing Fortune,"(7, 8]",1990,10,1.791759469228055,1,0,1.6094379124341003,tvEpisode,False,True,False,0.6931471805599453,5,['JP'],"Animation,Comedy,Drama",7.5,0.0,0.0
Yeopansa,"(6, 7]",1962,87,2.3978952727983707,1,0,2.302585092994046,movie,False,True,False,1.6094379124341003,10,['KR'],Drama,6.5,1.3862943611198906,0.0
The Midnight Man,"(6, 7]",1974,117,7.229113877793302,46,1,4.127134385045092,movie,False,True,False,3.044522437723423,1378,['US'],"Crime,Drama,Mystery",6.5,3.912023005428146,0.0
Hollywood on Parade,"(5, 6]",1978,90,3.4965075614664802,2,0,3.332204510175204,video,False,True,False,0.6931471805599453,32,['US'],"Documentary,Music,Musical",5.5,0.0,0.0
New Blood,"(5, 6]",1999,98,6.704414354964107,20,1,4.997212273764115,movie,False,True,False,2.3978952727983707,816,"['GB', 'CA']","Action,Thriller",5.5,2.995732273553991,0.0
Garras de oro,"(6, 7]",1927,50,4.6913478822291435,5,0,1.6094379124341003,movie,False,True,False,1.3862943611198906,109,['CO'],Drama,6.5,1.0986122886681098,0.0
Snakes on a Train: Behind the Scenes,"(4, 5]",2006,8,3.713572066704308,0,0,2.70805020110221,video,False,True,False,0.6931471805599453,40,['US'],Short,4.5,0.6931471805599453,0.0
