startYear;runtimeMinutes;numVotes;totalImages;totalVideos;totalCredits;AwNmExWins;numRegions;ratingCount;ratingMean;ReviewsTotal
2019;71;8;1;0;18;0;1;8;7.5;0
2023;53;13;4;0;64;0;1;13;7.5;0
1987;92;422;1;0;5;0;12;422;4.5;6
1970;21;13;3;0;11;0;1;13;8.5;1
2006;12;186;1;0;42;0;1;187;7.5;0
2015;87;447;107;1;56;0;9;447;4.5;15
1939;98;63;5;0;57;0;12;63;6.5;2
1990;47;88;1;0;62;0;1;88;8.5;0
1991;95;1406;35;0;101;0;14;1406;5.5;3
1934;64;93;7;0;52;0;12;93;6.5;11
2020;92;191;1;0;16;0;2;191;0.5;0
2020;40;33;0;0;9;0;7;33;8.5;0
2019;6;6;1;0;38;0;1;6;3.5;0
2021;111;68;2;1;24;0;4;68;6.5;0
1909;13;11;0;0;4;0;6;11;6.5;0
1994;30;71;3;0;31;1;3;71;7.5;0
2007;12;47;1;0;16;1;1;47;2.5;0
1909;13;50;1;0;19;0;1;50;5.5;3
1970;9;54;9;0;6;0;2;54;5.5;0
1918;13;7;0;0;11;0;1;7;6.5;0
2011;28;183;2;3;40;0;2;183;6.5;2
2023;71;22;0;0;9;0;1;22;7.5;1
1955;65;59;2;0;25;0;6;59;8.5;0
1978;81;35;1;0;10;0;2;35;6.5;0
2015;20;50;1;0;78;0;1;50;7.5;0
1935;65;53;6;0;27;0;7;53;7.5;2
2005;95;20;1;0;19;0;1;20;6.5;0
1963;30;37;1;0;38;0;1;37;6.5;0
1963;30;23;1;0;20;0;1;23;7.5;0
1981;30;97;0;0;42;0;1;97;6.5;0
2003;29;8;1;0;18;0;3;8;7.5;0
2020;40;35;1;0;47;0;1;35;9.5;0
1929;58;22;2;0;21;0;4;22;6.5;1
1964;51;226;13;0;43;0;1;226;7.5;7
1965;105;114;0;0;11;0;7;114;1.5;0
2020;134;251;1;1;96;0;3;251;5.5;2
1995;24;1256;1;0;55;0;1;1257;7.5;2
2006;43;67;1;0;90;0;1;67;7.5;0
2016;42;643;6;0;109;0;1;645;7.5;3
1949;92;62;9;0;41;0;2;62;6.5;4
2012;128;73;1;0;37;0;5;73;6.5;1
2002;44;18;1;0;51;0;1;18;8.5;0
1932;13;22;0;0;4;0;1;22;6.5;0
2016;52;1812;8;0;275;0;1;1815;8.5;4
1927;20;14;3;0;9;0;1;14;6.5;2
1966;60;10;31;0;32;0;1;10;6.5;2
2017;102;343;16;0;118;12;7;343;7.5;11
1997;101;11;1;0;15;0;3;11;4.5;0
1965;90;14;0;0;13;0;1;14;8.5;0
1990;24;50;1;0;61;0;1;50;6.5;0
1962;92;31;1;0;16;0;1;31;7.5;1
2013;24;100;1;0;24;0;1;100;7.5;0
1985;71;11;1;0;15;0;1;11;8.5;0
2020;50;45;0;0;427;0;1;45;7.5;0
2021;53;159;8;0;16;0;4;159;5.5;0
2014;53;194;7;0;94;1;1;194;4.5;2
1935;58;19;7;0;31;0;5;19;5.5;0
1984;92;13;0;0;7;0;2;13;5.5;0
1997;47;10;0;0;43;0;1;10;6.5;0
1997;93;569;5;0;240;0;7;570;7.5;11
1995;53;18;1;0;7;0;1;18;9.5;0
2019;40;6;0;0;165;0;1;6;8.5;0
1960;30;8;86;0;36;0;1;8;7.5;1
1996;108;15979;31;1;198;6;31;15983;5.5;170
2010;24;8;0;0;54;0;1;8;8.5;0
1965;90;11;1;0;13;0;2;11;6.5;1
2016;88;13;4;0;34;0;2;13;8.5;0
1967;40;181;2;0;38;0;1;181;7.5;2
1996;82;69;1;0;8;0;1;69;7.5;3
1962;92;6;1;0;28;0;1;6;7.5;0
2024;98;26;1;0;5;0;8;26;5.5;0
2018;13;7;12;0;116;0;1;7;7.5;0
1973;110;61;0;0;4;0;1;61;7.5;2
2024;42;107;15;0;206;0;1;108;8.5;0
2014;53;15;1;0;69;0;1;15;7.5;0
2020;28;23;6;0;4;0;1;23;6.5;0
1939;85;57;1;0;27;0;2;57;7.5;0
